
Date, Value
2023-11-06,35041.9
2023-11-07,35510.1
2023-11-08,35619.1
2023-11-09,36537.1
2023-11-10,37309.2
2023-11-13,36508.9
2023-11-14,35577.6
2023-11-15,37678.4
2023-11-16,35966.8
2023-11-17,36423.1
2023-11-20,37435.6
2023-11-21,36839.9
2023-11-22,37649.7
2023-11-23,37265
2023-11-24,37849.4
2023-11-27,37039.5
2023-11-28,37974.1
2023-11-29,37750
2023-11-30,37746.1
2023-12-01,38803.2
2023-12-04,42028.8
2023-12-05,43931.4
2023-12-06,43823.8
2023-12-07,43402.8
2023-12-08,44576.3
2023-12-11,41160.4
2023-12-12,41089.7
2023-12-13,43042.7
2023-12-14,42988.4
2023-12-15,42233.1
2023-12-18,42614.7
2023-12-19,42493.2
2023-12-20,43438
2023-12-21,44015
2023-12-22,43769.8
2023-12-25,43536.7
2023-12-26,42341.4
2023-12-27,43395.9
2023-12-28,42467.5
2023-12-29,41945.1
2024-01-01,43644.2
2024-01-02,45122.1
2024-01-03,42935.6
2024-01-04,44499
2024-01-05,43960.4
2024-01-08,47109
2024-01-09,45447.5
2024-01-10,45953.5
2024-01-11,46146.1
2024-01-12,43433.9
2024-01-15,42739.3
2024-01-16,43408.2
2024-01-17,42684.9
2024-01-18,41129.7
2024-01-19,41612.7
2024-01-22,39970.9
2024-01-23,39139.8
2024-01-24,39838.8
2024-01-25,39877.8
2024-01-26,42067.1
2024-01-29,43206.1
2024-01-30,43545.4
2024-01-31,42517.6
2024-02-01,43107.6
2024-02-02,42988.5
2024-02-05,42358.9
2024-02-06,43193.6
2024-02-07,44213.2
2024-02-08,45353.9
2024-02-09,47479.9
2024-02-12,49959
2024-02-13,49640.3
2024-02-14,51719.5
2024-02-15,51516.4
2024-02-16,51995.8
2024-02-19,52421.4
2024-02-20,52065.1
2024-02-21,51335.5
2024-02-22,51662.3
2024-02-23,50985.5
2024-02-26,54638.2
2024-02-27,56777.2
2024-02-28,60517.6
2024-02-29,61321.7
2024-03-01,62645
2024-03-04,67473.9
2024-03-05,63478.2
2024-03-06,66562.4
2024-03-07,67321.5
2024-03-08,68622.5
2024-03-11,72040.5
2024-03-12,71001.8
2024-03-13,73179.2
2024-03-14,70701.6
2024-03-15,67863.1
2024-03-18,67271.8
2024-03-19,63787.9
2024-03-20,67156.4
2024-03-21,65353.8
2024-03-22,63554.9
2024-03-25,70943.5
2024-03-26,69741
2024-03-27,68924.1
2024-03-28,70695.8
2024-03-29,69636.2
2024-04-01,69752.9
2024-04-02,65841.5
2024-04-03,65855.6
2024-04-04,67961.9
2024-04-05,67659.7
2024-04-08,71678.4
2024-04-09,69107.4
2024-04-10,69900.4
2024-04-11,70560.5
2024-04-12,67042.1
2024-04-15,63389
2024-04-16,62942.1
2024-04-17,61023.6
2024-04-18,63529.8
2024-04-19,64674.6
