
Date, Value
2023-11-06,1988.6
2023-11-07,1973.5
2023-11-08,1957.8
2023-11-09,1969.8
2023-11-10,1937.7
2023-11-13,1950.2
2023-11-14,1966.5
2023-11-15,1964.3
2023-11-16,1987.3
2023-11-17,1984.7
2023-11-20,1980.3
2023-11-21,2001.6
2023-11-22,1992.8
2023-11-24,2003
2023-11-27,2012.4
2023-11-28,2040
2023-11-29,2067.1
2023-11-30,2057.2
2023-12-01,2089.7
2023-12-04,2042.2
2023-12-05,2036.3
2023-12-06,2047.9
2023-12-07,2046.4
2023-12-08,2014.5
2023-12-11,1993.7
2023-12-12,1993.2
2023-12-13,1997.3
2023-12-14,2044.9
2023-12-15,2035.7
2023-12-18,2040.5
2023-12-19,2052.1
2023-12-20,2047.7
2023-12-21,2051.3
2023-12-22,2059.6
2023-12-25,2066.65
2023-12-26,2060.4
2023-12-27,2083.4
2023-12-28,2083.5
2023-12-29,2071.8
2024-01-01,2072.9
2024-01-02,2073.4
2024-01-03,2042.8
2024-01-04,2050
2024-01-05,2049.8
2024-01-08,2033.5
2024-01-09,2033
2024-01-10,2027.8
2024-01-11,2019.2
2024-01-12,2051.6
2024-01-14,2051.35
2024-01-15,2057.85
2024-01-16,2030.2
2024-01-17,2006.5
2024-01-18,2031.1
2024-01-19,2038.5
2024-01-22,2031.5
2024-01-23,2035.2
2024-01-24,2025.4
2024-01-25,2027.1
2024-01-26,2026.6
2024-01-29,2034.9
2024-01-30,2050.9
2024-01-31,2067.4
2024-02-01,2071.1
2024-02-02,2053.7
2024-02-05,2042.9
2024-02-06,2051.4
2024-02-07,2051.7
2024-02-08,2047.9
2024-02-09,2038.7
2024-02-12,2033
2024-02-13,2007.2
2024-02-14,2004.3
2024-02-15,2014.9
2024-02-16,2024.1
2024-02-18,2025.75
2024-02-19,2027.5
2024-02-20,2039.8
2024-02-21,2034.3
2024-02-22,2030.7
2024-02-23,2039.4
2024-02-26,2029.1
2024-02-27,2034.4
2024-02-28,2042.7
2024-02-29,2054.7
2024-03-01,2095.7
2024-03-04,2126.3
2024-03-05,2141.9
2024-03-06,2158.2
2024-03-07,2165.2
2024-03-08,2185.5
2024-03-11,2188.6
2024-03-12,2166.1
2024-03-13,2180.8
2024-03-14,2167.5
2024-03-15,2161.5
2024-03-18,2164.3
2024-03-19,2159.7
2024-03-20,2161
2024-03-21,2195
2024-03-22,2170.2
2024-03-25,2186.8
2024-03-26,2187.8
2024-03-27,2212.7
2024-03-28,2238.4
2024-03-29,2254.8
2024-04-01,2257.1
2024-04-02,2281.8
2024-04-03,2315
2024-04-04,2308.5
2024-04-05,2345.4
2024-04-08,2351
2024-04-09,2362.4
2024-04-10,2348.4
2024-04-11,2372.7
2024-04-12,2374.1
2024-04-15,2383
2024-04-16,2407.8
2024-04-17,2388.4
2024-04-18,2391
