
Date, Value
2023-10-27,2049.65
2023-10-30,2057.14
2023-10-31,2075.79
2023-11-01,2073.43
2023-11-02,2110.8
2023-11-03,2126.76
2023-11-06,2123.5
2023-11-07,2116.06
2023-11-08,2114.32
2023-11-09,2137.98
2023-11-10,2115.38
2023-11-13,2122.63
2023-11-14,2169.98
2023-11-15,2192.97
2023-11-16,2171.53
2023-11-17,2198.83
2023-11-20,2206.34
2023-11-21,2197.08
2023-11-22,2213.18
2023-11-23,2226.34
2023-11-24,2229.37
2023-11-27,2226.85
2023-11-28,2214.81
2023-11-29,2233
2023-11-30,2232.46
2023-12-01,2250.21
2023-12-04,2253.8
2023-12-05,2267.8
2023-12-06,2289.64
2023-12-07,2287.14
2023-12-08,2313.01
2023-12-11,2339.78
2023-12-12,2334.73
2023-12-13,2322.75
2023-12-14,2365.25
2023-12-15,2386.43
2023-12-18,2374.17
2023-12-19,2384.54
2023-12-20,2390.84
2023-12-21,2375.14
2023-12-22,2377.05
2023-12-27,2390.28
2023-12-28,2389.01
2023-12-29,2396.07
2024-01-02,2394.93
2024-01-03,2356.64
2024-01-04,2361.9
2024-01-05,2337.86
2024-01-08,2357.77
2024-01-09,2344.72
2024-01-10,2341.94
2024-01-11,2336.25
2024-01-12,2355.97
2024-01-15,2340.47
2024-01-16,2323.78
2024-01-17,2297.85
2024-01-18,2309.95
2024-01-19,2297.96
2024-01-22,2330.55
2024-01-23,2337.48
2024-01-24,2351.1
2024-01-25,2362.73
2024-01-26,2370.13
2024-01-29,2368.06
2024-01-30,2368.36
2024-01-31,2356.6
2024-02-01,2364.81
2024-02-02,2367.9
2024-02-05,2339.89
2024-02-06,2357.52
2024-02-07,2356.43
2024-02-08,2358.5
2024-02-09,2352.42
2024-02-12,2367.5
2024-02-13,2352.77
2024-02-14,2362.07
2024-02-15,2385.24
2024-02-16,2408.92
2024-02-19,2410.33
2024-02-20,2414.79
2024-02-21,2414.97
2024-02-22,2426.38
2024-02-23,2435.45
2024-02-26,2438.64
2024-02-27,2442.22
2024-02-28,2447.21
2024-02-29,2452.8
2024-03-01,2461.49
2024-03-04,2455.36
2024-03-05,2449.04
2024-03-06,2460.81
2024-03-07,2471.57
2024-03-08,2487.7
2024-03-11,2479.35
2024-03-12,2521.91
2024-03-13,2527.47
2024-03-14,2527.85
2024-03-15,2533.62
2024-03-18,2504.8
2024-03-19,2514.93
2024-03-20,2510.44
2024-03-21,2550.5
2024-03-22,2534.34
2024-03-25,2526.07
2024-03-26,2547.97
2024-03-27,2537.37
2024-03-28,2518.27
2024-04-02,2508.65
2024-04-03,2513.52
2024-04-04,2521.86
2024-04-05,2504.8
2024-04-08,2522.36
2024-04-09,2513.5
2024-04-10,2519.05
2024-04-11,2499.7
2024-04-12,2506.99
2024-04-15,2523.4
2024-04-16,2491.76
2024-04-17,2505.27
2024-04-18,2517.69
