Date, Value
2023-11-08,22.728
2023-11-09,22.905
2023-11-10,22.281
2023-11-13,22.358
2023-11-14,23.132
2023-11-15,23.538
2023-11-16,23.933
2023-11-17,23.852
2023-11-20,23.614
2023-11-21,23.869
2023-11-22,23.688
2023-11-24,24.341
2023-11-27,24.681
2023-11-28,24.935
2023-11-29,25.443
2023-11-30,25.66
2023-12-01,25.857
2023-12-04,24.907
2023-12-05,24.546
2023-12-06,24.228
2023-12-07,24.059
2023-12-08,23.276
2023-12-11,23.058
2023-12-12,23.016
2023-12-13,22.921
2023-12-14,24.386
2023-12-15,24.154
2023-12-18,24.107
2023-12-19,24.321
2023-12-20,24.631
2023-12-21,24.585
2023-12-22,24.565
2023-12-25,24.51
2023-12-26,24.396
2023-12-27,24.57
2023-12-28,24.372
2023-12-29,24.025
2024-01-01,24.05
2024-01-02,23.953
2024-01-03,23.157
2024-01-04,23.187
2024-01-05,23.315
2024-01-08,23.31
2024-01-09,23.091
2024-01-10,23.066
2024-01-11,22.705
2024-01-12,23.329
2024-01-14,23.323
2024-01-15,23.328
2024-01-16,23.093
2024-01-17,22.669
2024-01-18,22.699
2024-01-19,22.601
2024-01-22,22.183
2024-01-23,22.354
2024-01-24,22.769
2024-01-25,22.814
2024-01-26,22.758
2024-01-29,23.134
2024-01-30,23.225
2024-01-31,23.169
2024-02-01,23.236
2024-02-02,22.796
2024-02-05,22.422
2024-02-06,22.478
2024-02-07,22.36
2024-02-08,22.636
2024-02-09,22.594
2024-02-12,22.767
2024-02-13,22.154
2024-02-14,22.387
2024-02-15,22.951
2024-02-16,23.475
2024-02-18,23.453
2024-02-19,23.003
2024-02-20,23.136
2024-02-21,23.094
2024-02-22,23.003
2024-02-23,23.087
2024-02-26,22.638
2024-02-27,22.651
2024-02-28,22.636
2024-02-29,22.885
2024-03-01,23.364
2024-03-04,23.991
2024-03-05,23.984
2024-03-06,24.493
2024-03-07,24.578
2024-03-08,24.549
2024-03-11,24.715
2024-03-12,24.394
2024-03-13,25.156
2024-03-14,25.06
2024-03-15,25.381
2024-03-18,25.265
2024-03-19,25.135
2024-03-20,25.104
2024-03-21,25.007
2024-03-22,24.717
2024-03-24,24.855
2024-03-25,24.762
2024-03-26,24.5
2024-03-27,24.752
2024-03-28,24.916
2024-03-29,25.1
2024-04-01,25.073
2024-04-02,25.923
2024-04-03,27.06
2024-04-04,27.247
2024-04-05,27.503
2024-04-08,27.807
2024-04-09,27.984
2024-04-10,28.052
2024-04-11,28.25
2024-04-12,28.33
2024-04-15,28.717
2024-04-16,28.376
2024-04-17,28.4
2024-04-18,28.38
2024-04-19,28.844
