Date, Value
2023-11-14,104.05
2023-11-15,104.39
2023-11-16,104.35
2023-11-17,103.92
2023-11-20,103.44
2023-11-21,103.56
2023-11-22,103.92
2023-11-23,103.92
2023-11-24,103.4
2023-11-27,103.2
2023-11-28,102.75
2023-11-29,102.77
2023-11-30,103.5
2023-12-01,103.27
2023-12-04,103.71
2023-12-05,104.05
2023-12-06,104.15
2023-12-07,103.54
2023-12-08,104.01
2023-12-11,104.1
2023-12-12,103.86
2023-12-13,102.87
2023-12-14,101.96
2023-12-15,102.55
2023-12-17,102.62
2023-12-18,102.56
2023-12-19,102.17
2023-12-20,102.41
2023-12-21,101.84
2023-12-22,101.7
2023-12-24,101.71
2023-12-26,101.47
2023-12-27,100.99
2023-12-28,101.23
2023-12-29,101.33
2023-12-31,101.38
2024-01-02,102.2
2024-01-03,102.49
2024-01-04,102.42
2024-01-05,102.41
2024-01-08,102.21
2024-01-09,102.57
2024-01-10,102.36
2024-01-11,102.29
2024-01-12,102.4
2024-01-15,102.4
2024-01-16,103.36
2024-01-17,103.45
2024-01-18,103.54
2024-01-19,103.29
2024-01-22,103.33
2024-01-23,103.62
2024-01-24,103.24
2024-01-25,103.57
2024-01-26,103.43
2024-01-29,103.61
2024-01-30,103.4
2024-01-31,103.27
2024-02-01,103.05
2024-02-02,103.92
2024-02-05,104.45
2024-02-06,104.21
2024-02-07,104.06
2024-02-08,104.17
2024-02-09,104.11
2024-02-12,104.17
2024-02-13,104.96
2024-02-14,104.72
2024-02-15,104.3
2024-02-16,104.3
2024-02-19,104.29
2024-02-20,104.08
2024-02-21,104.01
2024-02-22,103.96
2024-02-23,103.94
2024-02-26,103.83
2024-02-27,103.83
2024-02-28,103.97
2024-02-29,104.16
2024-03-01,103.86
2024-03-04,103.83
2024-03-05,103.8
2024-03-06,103.37
2024-03-07,102.82
2024-03-08,102.71
2024-03-10,102.68
2024-03-11,102.87
2024-03-12,102.96
2024-03-13,102.79
2024-03-14,103.36
2024-03-15,103.43
2024-03-18,103.43
2024-03-19,103.59
2024-03-20,103.24
2024-03-21,104
2024-03-22,104.43
2024-03-24,104.41
2024-03-25,104.23
2024-03-26,104.3
2024-03-27,104.43
2024-03-28,104.53
2024-03-29,104.49
2024-03-31,104.5
2024-04-01,105
2024-04-02,104.78
2024-04-03,104.22
2024-04-04,104.23
2024-04-05,104.29
2024-04-07,104.36
2024-04-08,104.11
2024-04-09,104.1
2024-04-10,105.2
2024-04-11,105.28
2024-04-12,106.01
2024-04-14,105.96
2024-04-15,106.2
2024-04-16,106.34
2024-04-17,105.96
2024-04-18,106.18
2024-04-19,106.12
